X,Y,fid,NOMBRE,RAZ_SOCIA,icon_url
-109.695,23.0616,"1",ESCUELA MUNICIPAL DE MUSICA CONCEPCION OLACHEA MONTEJANO,ARTISTICA,
-110.311,24.1422,"2",ESCUELA DE MUSICA DE LA PAZ,ARTISTICA,
-110.311,24.1422,"3",ESCUELA DE MUSICA DE LA PAZ,ARTISTICA,
-110.31740224,24.14664346,"4",GALERIA DE ARTE CARLOS OLACHEA BOUCSIEGUEZ,INSTITUTO SUDCALIFORNIANO DE CULTURA DEL GOBIERNO DEL ESTADO DE BAJA CALIFORNIA SUR,
-111.34219016,26.01106405,"5",LA CASA DEL ARTESANO,AYUNTAMIENTO DE LORETO,
-111.98201199,26.89183227,"6",MUSEOCOMUNITARIO DE MULEGE,DELEGACION DEL XVI AYUNTAMIENTO DE MULEGE,
-111.34337549,26.01012193,"7",MUSEO DE LAS MISIONES GESUITICAS,INSTITUTO NACIONAL DE ANTROPOLOGIA E HISTORIA,
-109.91472985,22.88282367,"8",MUS0O DE HISTORIA NATURAL DE CABO SAN LUCAS,PROPIEDAD MUNICIPAL,
-111.67374824,25.03316086,"9",MUSEO MUNICIPAL CASA AMARILLA,H AYUNTAMIENTO DE COMONDU,
-110.30902969,24.15961337,"10",MUSEO REGIONAL DE ANTROPOLOGIA E HISTORIA DE BAJA CALIFORNIA SUR,MUSEO REGIONAL DE ANTROPOLOGIA E HISTORIA DE BAJA CALIFORNIA SUR,
-112.89925456,27.28316908,"11",MUSEO DE SAN IGNACIO,GOBIERNO MUNICIPAL,
-110.29286845,24.14123862,"12",MUSEO INTERACTIVO LA CASITA DE LA CIENCIA,SECRETARTA DE EDUCACICN PTBLICA DEL ESTADO DE BAJA CALIFORNIA SUR,
-110.22360479,23.45095433,"13",CENTRO CULTURAL PROFESOR NESTOR AGUNDAZ MARTINEZ,GOBIERNO DEL ESTADO,
-109.69883914,23.06087434,"14",COORDINACION MUNICIPAL DE BIBLIOTECAS PUBLICAS,DIRECCION MUNICIPAL DE EDUCACION,
-110.33196695,24.1258255,"15",LIBRERIA DE PATRONATO DEL ESTUDIANTE,GOBIERNO DEL ESTABADO DE BAJA CALIFORNIA SUR,
-110.31795643,24.14702548,"16",LIBRERIA ISC,INSTITUTO SUDCALIFORNIANO DE CULTURA,
-109.70098574,23.18036019,"17",MODULO DIGITAL SANTA ANITA,H XII AYUNTAMIENTO DE LOS CABOS,
-109.81672485,23.3855111,"18",SALA DE LECTURA,H XI AYUNTAMIENTO DE LOS CABOS,
-111.67469333,25.03287205,"19",SALAS DE LECTURAS PARA LIBROS,AYUNTAMIENTO DE COMONDU,
-110.31804489,24.14865014,"20",ARCHIVO HISTORICO DEL ESTADO PABLO L MARTINEZ,INSTITUTO DE CULTURA DE BAJA CALIFORNIA SUR,
-111.67304043,25.03507596,"21",BIBLIOTECA CONSTITUCION,BIBLIOTECA POBLICA CONSTITUCION,
-110.31403383,24.12138013,"22",BIBLIOTECA DE LA TERCERA ZONA MILITAR,I.S.S. F.A.M. U.H.M. LA PAZ II,
-114.89827898,27.69382148,"23",BIBLIOTECA,H AYUNTAMIENTO DE MULEGE,
-110.38908571,24.09815862,"24",BIBLIOTECA,UNIVERSIDAD INTERNACIONAL DE LA PAZ,
-111.65094373,25.03233438,"25",BIBLIOTECA CLUB DE LEONES  7080,H. AYUNTAMIENTO,
-110.30861361,24.16011821,"26",BIBLIOTECA MAESTRO JUSTO SIERRA,GOBIERNO DEL ESTADO DE BAJA CALIFORNIA SUR,
-112.2667169,27.3374848,"27",BIBLIOTECA MAHATMA GANDHI,H. AYUNTAMIENTO DE MULEGE,
-110.16530593,23.36374745,"28",BIBLIOTECA PROFESORA CARLOTA COTA,EJIDO PESCADERO,
-111.82825904,26.05500135,"29",BIBLIOTECA PROFESORA CAROLINA VERDUGO,AYUNTAMIENTO DE COMONDU,
-110.31848694,24.13564811,"30",BIBLIOTECA LEOPOLDO RAMOS,GOBIERNO DEL ESTADO DE BCS,
-110.32746976,24.1371668,"31",BIBLIOTECA PUBLICA DEL INSTITUTO DE SEGURIDAD DE SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,BIBLIOTECA PUBLICA DEL INSTITUTO DE SEGURIDAD DE SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,
-111.27255344,25.74052967,"32",BIBLIOTECA PUBLICA,BIBLIOTECA PUBLICA,
-109.92501609,22.89782127,"33",BIBLIOTECA PUBLICA AMELIA WILKES CESElA 4072,H AYUNTAMIENTO DE LOS CABOS,
-110.31735928,24.14661385,"34",BIBLIOTECA PUBLICA CENTRAL ESTATAL FILEMON CECILIO PINEDA,INSTITUTO SUDCALIFORNIANO DE CULTURA DEL GOBIERNO DEL ESTADO DE BAJA CALIFORNIA SUR,
-112.1069965,24.78667056,"35",BIBLIOTECA PUBLICA DE PUERTO SAN CARLOS,GOBIERNO,
-109.92839886,22.91916554,"36",BIBLIOTECA PUBLICA LOMAS DEL SOL 8759,AYUNTAMIENTO DE LOS CABOS,
-110.41360617,24.10195012,"37",BIBLIOTECA PUBLICA MARIA TERESA MORENO,BIBLIOTECA MARIA TERESA MORENO,
-112.89459549,27.28186988,"38",BIBLIOTECA PUBLICA MIRNA RUBI OCAMPO NIEVA,BIBLIOTECA PUBLICA,
-109.69910343,23.67953316,"39",BIBLIOTECA P0BLICA MUNICIPAL BETTY TURPIN NBMERO 6872,MUNICIPIO DE LA PAZ BAJA CALIFORNIA SUR GOBIERNO DEL ESTADO DE BAJA CALIFORNIA,
-110.05740698,23.80724494,"40",BIBLIOTECA PUBLICA DOMINGA G. DE AMAO,AYUNTAMIENTO DE LA PAZ,
-111.67903768,25.03032889,"41",BIBLIOTECA PUBLICA GUAYCURA,GOBIERNO FEDERAL,
-110.10845473,23.80176404,"42",BIBLIOTECA PUBLICA MUNICIPAL FRANCISCO COTA MORENO,H AYUNTAMIENTO DE LA PAZ,
-113.37629194,27.64036652,"43",BIBLIOTECA PUBLICA MUNICIPAL JOSE LOZANO,H AYUNTAMIENTO DE MULEGE,
-110.2840365,24.14631565,"44",BIBLIOTECA PUBLICA MUNICIPAL MAESTROS JUBILADOS,H AYUNTAMIENTO DE LA PAZ,
-109.69873641,23.06091738,"45",BIBLIOTECA PUBLICA MUNICIPAL PROFESOR PABLO L MARTINEZ,HONORABLE DECIMO TERCER AYUNTAMIENTO DE LOS CABOS,
-109.69851236,23.06094267,"46",BIBLIOTECA PUBLICA PROFESOR PABLO L MARTINEZ,HONORABLE DECIMO TERCER AYUNTAMIENTO DE LOS CABOS,
-111.77750925,25.26357096,"47",BIBLIOTECA PUBLICA PROFESORA ROSARIO VERDUGO AGUILAR,CONACULTA,
-109.71237407,23.11830629,"48",BIBLIOTECA P0BLICA SAN JOSU VIEJO,H AYUNTAMIENTO DE LOS CABOS,
-112.27120941,27.33557546,"49",BIBLIOTECA Y SALA DE JUNTAS DEL CENTRO DE MAESTROS,SECRETARCA DE EDUCACIJN PABLICA,
-112.11754459,25.1928919,"50",BIBLIOTECA P0BLICA OCTAVIO PAZ,AYUNTAMIENTO MUNICIPAL,
-112.04098313,26.20336192,"51",BIBLIOTECA PUBLICA PROF. FELIX MARIO HIGUERA ARCE SAN ISIDRO,H AYUNTAMIENTO DE COMONDU,
-111.35471184,26.00887443,"52",BIBLIOTECA P0BLICA PROFESOR CARLOS CORTEZ LEYVA,GOBIERNO MUNICIPAL DE LORETO BAJA CALIFORNIA SUR,
-109.94322716,22.9422941,"53",BLIBLIOTECA DIGITAL LAS PALMAS,MUNICIPIO DE LOS CABOS DE BCS,
-109.68967788,23.13601492,"54",BLIBLIOTECA PUBLICA PROFESOR GUILLERMO BURGOIN CASTRO,GOBIERNO MUNICIPAL,
